index	headword	pos	definition	notes:bookkeeping	Transcription:Armenian	Transcription	UR	Declension class	Verb Regularity	Regular category	Subclass	Class number
51878	սառնաբեկոր	noun	Ice sludge.		սառնաբեկոր		Rսառն-ա+Rբեկ-որ	Regular?				
51879	սառնաբեր	noun, adjective	Cryophorus; ice-cold, freezing.		սառնաբեր		Rսառն-ա+Rբեր	Multi-POS				
51880	սառնաբիւրեղ	noun	Ice spar.		սառնաբիւրեղ		Rսառն-ա+Rբիւրեղ	Regular?				
51881	սառնադաշտ	noun	Ice field.		սառնադաշտ		Rսառն-ա+Rդաշտ	Regular?				
51882	սառնազգածութիւն	noun	Frigidity.		սառնազգածութիւն		Rսառն-ա+Rզգած-ութիւն	Suffix utjun				
51883	սառնալեռ	noun	Iceberg.		սառնալեռ		Rսառն-ա+Rլեռ	Irregular ner				
51884	սառնածաղիկ	noun	Frost-weed.		սառնածաղիկ		Rսառն-ա+Rծաղիկ	Regular?				
51885	սառնածին	noun	Cryogen.		սառնածին		Rսառն-ա+Rծին	Regular?				
51886	սառնակաթիլք	noun	Ice drops.		սառնակաթիլք		Rսառն-ա+Rկաթ-իլ-ք	Regular?				
51887	սառնական	adjective	Glacial, icy.		սառնական		Rսառն-ական	Adjective				
51889	սառնակերպ	noun	Crystalloid, hyaloid, crystal form.		սառնակերպ		Rսառն-ա+Rկերպ	Adjective				
51890	սառնակերպ	adjective	Ice-like, icy, cystalline, pellucid.		սառնակերպ		Rսառն-ա+Rկերպ	Regular?				
51891	սառնակոյտ	noun	Ice pack, glacier, mass of ice.		սառնակույտ		Rսառն-ա+Rկույտ	Regular?				
51892	սառնահալ	adjective	Thawed, melted, liquefied.		սառնահալ		Rսառն-ա+Rհալ	Adjective				
51893	սառնահատ	noun	Ice plow.		սառնահատ		Rսառն-ա+Rհատ	Regular?				
51894	սառնահատոր	noun	Block of ice.		սառնահատոր		Rսառն-ա+Rհատ-որ	Regular?				
51895	սառնահար	adjective	Frozen, iced, frost bitten.		սառնահար		Rսառն-ա+Rհար	Adjective				
51896	սառնահարութիւն	noun	Frostbite.		սառնահարութիւն		Rսառն-ա+Rհար-ութիւն	Suffix utjun				
51888	սառնահաւ	noun	Ice petrel, ice bird.	typo from սառնակաւ	սառնահավ		Rսառն-ա+Rհավ	Regular?				
51897	սառնահերձ	adjective	Split by frost.		սառնահերձ		Rսառն-ա+Rհերձ	Adjective				
51898	սառնաձեւ	adjective	see Սառնակերպ։		սառնաձեվ		Rսառն-ա+Rձեվ	Adjective				
51899	սառնամած	adjective	Covered with ice.		սառնամած		Rսառն-ա+Rմած	Adjective				
51900	սառնամածութիւն	noun	Frostiness.		սառնամածութիւն		Rսառն-ա+Rմած-ութիւն	Suffix utjun				
51901	սառնամանիք	noun	Ice storm, frost, icy cold.		սառնամանիք		Rսառն-ա+Rման-իք	Regular?				
51902	սառնամեքենայ	noun	Ice machine.		սառնամեքենա		Rսառն-ա+Rմեքենա	Regular?				
51903	սառնային	adjective	Glacial.		սառնային		Rսառն-ային	Regular?				
51904	սառնային	noun	Frozen lake.		սառնային		Rսառն-ային	Adjective				
51905	սառնանալ	verb neutre	To freeze.		սառնանալ		Rսառն-ա-ն-ա-լ		Regular	Inchoative		20
51906	սառնանաւ	noun	Ice yacht.		սառնանավ		Rսառն-ա+Rնավ	Regular?				
51907	սառնանոյշ	noun	Ice.		սառնանուշ		Rսառն-անուշ	Regular?				
51908	սառնաշէն	adjective	Ice built, built with ice.		սառնաշէն		Rսառն-ա+Rշէն	Adjective				
51909	սառնապատ	adjective	Ice bound, covered with ice.		սառնապատ		Rսառն-ա+Rպատ	Adjective				
51910	սառնաջուր	noun	Ice water, water of crystallization.		սառնաջուր		Rսառն-ա+Rջուր	Regular?				
51911	սառնասառոյց	adjective	Frozen, glacial, icy, freezing.		սառնասառույց		Rսառն-ա+Rսառ-ույց	Adjective				
51912	սառնասոյզ	adjective	Pushed in the ice, icebound.		սառնասույզ		Rսառն-ա+Rսույզ	Adjective				
51913	սառնավաճառ	noun	Ice man.		սառնավաճառ		Rսառն-ա+Rվաճառ	Regular?				
51914	սառնավէժ	noun	Ice fall.		սառնավէժ		Rսառն-ա+Rվէժ	Regular?				
51915	սառնատես	adjective	Hyaline, glassy.		սառնատես		Rսառն-ա+Rտես	Adjective				
51916	սառնատեսակ	adjective	Crystalline, pellucid.		սառնատեսակ		Rսառն-ա+Rտեսակ	Adjective				
51917	սառնատուն	noun	Ice house, glacier.		սառնատուն		Rսառն-ա+Rտուն	Irregular -a-				
51918	սառնատունկ	noun	(bot.) Ice plant, diamond ficoïdes.		սառնատունկ		Rսառն-ա+Rտունկ	Regular?				
51919	սառնարան	noun	Ice house, glacier.		սառնարան		Rսառն-արան	Regular?				
51920	սառնացնել	verb active	To freeze, to ice.		սառնացընել		Rսառն-ա-ցն-ե-լ		Regular	Causative	Basic	10
51921	սառնացոլք	noun	Ice blink.		սառնացոլք		Rսառն-ա+Rցոլ-ք	Regular?				
51922	սառնացրտութիւն	noun	Ice storm, frost.		սառնացըրտութիւն		Rսառն-ա+Rցուրտ-ութիւն	Suffix utjun				
51923	սառնաքար	noun	(min.) Cryolite.		սառնաքար		Rսառն-ա+Rքար	Regular?				
51924	սառնեղէն	adjective	Icy, glacial, of ice, frosty.		սառնեղէն		Rսառն-եղէն	Adjective				
51925	սառնենի	noun	Ice plant.		սառնենի		Rսառն-ենի	Regular?				
51926	սառնիկ	noun	Icicle.		սառնիկ		Rսառն-իկ	Regular?				
51927	սառնորակ	noun	Thin coating of ice.		սառնորակ		Rսառն+Rորակ	Adjective				
51928	սառնորակ	adjective	Crystalline, pellucid.		սառնորակ		Rսառն+Rորակ	Regular?				
51929	սառնոց	noun	Glacier, ice-house.		սառնոց		Rսառն-ոց	Regular?				
51930	սառնութիւն	noun	Frost, ice, insensibility, chill.		սառնութիւն		Rսառն-ութիւն	Suffix utjun				
51931	սառոյց	noun	Ice, frost.		սառույց		Rսառ-ույց	Regular?				
51932	սառում	noun	Congealing, congelation, congealment.		սառում		Rսառ-ում	Potential -um suffix				
51933	սառուցական	adjective	Freezing.		սառուցական		Rսառ-ույց-ական	Adjective				
51934	սառուցանել	verb active	To freeze, to ice, to congeal.		սառուցանել		Rսառ-ույց-ան-ե-լ		Archaic			12
51935	սառուցեալ	adjective	Frozen, frosted, iced, frigid.		սառուցյալ		Rսառ-ույց-յալ	Adjective				
51936	սառուցիկ	adjective	Frozen, freezing, chilling, ice-cold.		սառուցիկ		Rսառ-ույց-իկ	Adjective				
51937	սառուցիչ	adjective	Freezing, icy cold.		սառուցիչ		Rսառ-ույց-իչ	Adjective				
51938	սառցաբեկ	noun	Ice-breaker.		սառցաբեկ		Rսառ-ույց-ա+Rբեկ	Regular?				
51939	սառցապատ	adjective	Icy cold, frozen, freezing, iced.		սառցապատ		Rսառ-ույց-ա+Rպատ	Adjective				
51940	սառցարան	noun	Frigorific machine, refrigerator, frigidaire.		սառցարան		Rսառ-ույց-արան	Regular?				
51941	սասալ	noun	(bot.) Common star of Bethlehem.		սասալ		Rսասալ	Regular?				
51942	սասալիոս	noun	(bot.) Small hartwort.		սասալիյոս		Rսասալիյոս	Regular?				
51943	սասանեանք	noun	Sassanids.		սասանյանք		Rսասան-յան-ք	Collective -nk but maybe just archaic				
51944	սասանել	verb active	To shake, to move, to disturb, to stir, to rouse, to frighten, to terrify.		սասանել		Rսասան-ե-լ		Regular	E-Class		2
51945	սասանեցնել	verb active	To shake, to move, to disturb, to stir, to rouse, to frighten, to terrify.		սասանեցընել		Rսասան-ե-ցն-ե-լ		Regular	Causative	Basic	10
51946	սասանիլ	verb neutre	To shake, to be shaken, to be disturbed, to be frightened.		սասանիլ		Rսասան-ի-լ		Regular	I-Class	Basic	4
51947	սասանութիւն	noun	Shock, concussion, shaking, perturbation, trouble, earthquake.		սասանութիւն		Rսասան-ութիւն	Suffix utjun				
51948	սասանում	noun	Shock, concussion, shaking, perturbation, trouble, earthquake.		սասանում		Rսասան-ում	Potential -um suffix				
51949	սասանուտ	adjective	Moveable.		սասանուտ		Rսասան-ուտ	Adjective				
51950	սաստ	noun	Scolding, rebuke, reprimand, reproach, reprobate.		սաստ		Rսաստ	Regular?				
51951	սաստական	adjective	Threatening.		սաստական		Rսաստ-ական	Adjective				
51952	սաստարար	noun	Grumbler, scolder.		սաստարար		Rսաստ-արար	Regular?				
51953	սաստել	verb active	To scold, to reprimand, to rebuke.		սաստել		Rսաստ-ե-լ		Regular	E-Class		2
51954	սաստիկ	adverb, adjective	Intense, violent, severe, strong, impetuous, excessive, extreme, harsh, rugged, rude, bitter.		սաստիկ		Rսաստ-իկ	Multi-POS				
51955	սաստիչ	noun	Scolding, grumbling; grumbler.		սաստիչ		Rսաստ-իչ	Regular?				
51956	սաստկագին	adverb	Violently, vehemently, severely, strongly, harshly, intensely.		սաստկագին		Rսաստ-իկ-ագին	Adverb				
51957	սաստկագոյն	adverb	Violently, vehemently, severely, strongly, harshly, intensely.		սաստկագույն		Rսաստ-իկ-ա+Rգույն	Adverb				
51958	սաստկական	adjective	Intensive, giving emphasis to.		սաստկական		Rսաստ-իկ-ական	Adjective				
51959	սաստկակոծ	adjective	Reprimanded, rebuked.		սաստկակոծ		Rսաստ-իկ-ա+Rկոծ	Adjective				
51960	սաստկահամ	adjective	Sharp, acid, sour, tart.	was spelled wrong as սաստկահաո 	սաստկահամ		Rսաստ-իկ-ա+Rհամ					
51961	սաստկահար	adjective	Severely, strongly hit.		սաստկահար		Rսաստ-իկ-ա+Rհար	Adjective				
51962	սաստկահարուած	adjective	Struck brutally.		սաստկահարված		Rսաստ-իկ-ա+Rհար-վ-ած	Adjective				
51963	սաստկահոլով	adjective	Which turns rapidly, turning rapidly.		սաստկահոլով		Rսաստ-իկ-ա+Rհոլով	Adjective				
51964	սաստկահով	noun	Gale.		սաստկահով		Rսաստ-իկ-ա+Rհով	Regular?				
51965	սաստկաձայն	adjective	Noisy, blustering, clamorous.		սաստկաձայն		Rսաստ-իկ-ա+Rձայն	Adjective				
51966	սաստկայաղթ	adjective	Brave, valiant, valorous, gallant.		սաստկահաղթ		Rսաստ-իկ-ա+Rհաղթ	Adjective				
51967	սաստկայոյզ	adjective	In full emotion, highly excited.		սաստկահույզ		Rսաստ-իկ-ա+Rհույզ	Adjective				
51968	սաստկանալ	verb active	To grow severe, to grow intense, to become violent.		սաստկանալ		Rսաստ-իկ-ա-ն-ա-լ		Regular	Inchoative		20
51969	սաստկանդամ	adjective	Heavy, well limbed, stout.		սաստկանդամ		Rսաստ-իկ+Rանդամ	Adjective				
51970	սաստկաշառաչ	adjective	Very loud, clamorous, noisy.		սաստկաշառաչ		Rսաստ-իկ-ա+Rշառաչ	Adjective				
51971	սաստկաշունչ	adjective	Violent, blowing violently.		սաստկաշունչ		Rսաստ-իկ-ա+Rշունչ	Adjective				
51972	սաստկապահանջ	adjective	Severe, rigid, inexorable.		սաստկապահանջ		Rսաստ-իկ-ա+Rպահանջ	Adjective				
51973	սաստկապէս	adverb	Intensely, severely, harshly, violently, vehemently, strongly.		սա՛ստկապէս		Rսաստ-իկ-ապէս	Adverb				
51974	սաստկաջինջ	adjective	Exterminated, entirely destroyed.		սաստկաջինջ		Rսաստ-իկ-ա+Rջինջ	Adjective				
51975	սաստկացնել	verb active	To render intense, to render violent, to fortify.		սաստկացընել		Rսաստ-իկ-ա-ցն-ե-լ		Regular	Causative	Basic	10
51976	սաստկացնում	noun	Exacerbation.		սաստկացընում		Rսաստ-իկ-ա-ցն-ում	Potential -um suffix				
51977	սաստկացուցիչ	adjective	Intensitive.		սաստկացուցիչ		Rսաստ-իկ-ա-ցու-ց-իչ	Adjective				
51978	սաստկութիւն	noun	Intensity, intenseness, violence, aggravation, seventy, vehemence, impetuosity, force, vivacity, rigour, vigour, extremity.		սաստկութիւն		Rսաստ-իկ-ութիւն	Suffix utjun				
51979	սատա	noun	(bot.) Lamb's ear, German stachys.		սատա		Rսատա	Regular?				
51980	սատակ	noun	Corpse, dead body, corpse of an unbeliever.		սատակ		Rսատակ	Regular?				
51981	սատակել	verb active	To exterminate, to destroy.		սատակել		Rսատակ-ե-լ		Regular	E-Class		2
51982	սատակիլ	verb neutre	To die, to perish, to be lost, to be destroyed.		սատակիլ		Rսատակ-ի-լ		Regular	I-Class	Basic	4
51983	սատակիչ	noun	Killer, slayer, slaughterer, that kills.		սատակիչ		Rսատակ-իչ	Regular?				
51984	սատակնոց	noun	Place of dead body, corpse.		սատակնոց		Rսատակ-նոց	Regular?				
51985	սատակում	noun	Death, decease, extermination.		սատակում		Rսատակ-ում	Potential -um suffix				
51986	սատակչական	adjective	Mortal, deadly, mortiferous, destructive.		սատակչական		Rսատակ-իչ-ական	Adjective				
51987	Սատայէլ	noun	see Սադայէլ։		սատայէլ		Rսատայէլ	Regular?				
51989	Սատան	noun	Satan, demon, devil, evil spirit, the arch enemy, the evil one. & Enemy, adversary, opponent, antagonist, rival.	manually merged entries	սատան		Rսատան	Regular?				
51990	Սատանայ	noun	Satan, demon, devil, evil spirit, the arch enemy, the evil one.		սատանա		Rսատանա	Regular?				
51991	սատանայազգեաց	noun	Possessed by devil, demoniacal.		սատանայազգյաց		Rսատանա-ա+Rզգ-յաց	Regular?				
51992	սատանայածին	adjective	Diabolical, satanic, born of satan.		սատանայածին		Rսատանա-ա+Rծին	Adjective				
51993	սատանայական	adjective	Satanic, diabolical, devilish.		սատանայական		Rսատանա-ական	Adjective				
51994	սատանայակիր	adjective	Demoniacal, possessed by a devil, allured by the devil.		սատանայակիր		Rսատանա-ա+Rկիր	Adjective				
51995	սատանայակուր	adjective	Demoniacal, possessed by a devil, allured by the devil.		սատանայակուր		Rսատանա-ա+Rկուր	Adjective				
51996	սատանայամիտ	adjective	Malicious, mischievous, roguish.		սատանայամիտ		Rսատանա-ա+Rմիտ	Adjective				
51997	սատանայապաշտ	adjective	Devil worshipper, demonist, satanist.		սատանայապաշտ		Rսատանա-ա+Rպաշտ	Adjective				
51998	սատանայապաշտութիւն	noun	Satanism, the worship of satan.		սատանայապաշտութիւն		Rսատանա-ա+Rպաշտ-ութիւն	Suffix utjun				
51999	սատանայասէր	adjective	Fond of the devil.		սատանայասէր		Rսատանա-ա+Rսէր	Adjective				
52000	սատանայաւոր	adjective	Satanic, diabolical, devilish.		սատանայավոր		Rսատանա-ավոր	Adjective				
52001	սատանայոտ	adjective	Devilish, furious, raging.		սատանայոտ		Rսատանա-ոտ	Adjective				
52002	սատանայութիւն	noun	Devilry, witchcraft, demonship, trick, devilment, devilship.		սատանայութիւն		Rսատանա-ութիւն	Suffix utjun				
52003	սատանիկ	noun	Devilet.		սատանիկ		Rսատան-իկ	Regular?				
52004	սատանորդի	noun	Droll, sly fellow.		սատանորդի		Rսատան+Rորդի	Regular?				
52005	սատապ	noun	(bot.) Herb of grace.		սատապ		Rսատապ	Regular?				
52006	սատապ	noun	Mother of pearl.		սատապ		Rսատապ	Regular?				
52007	սատապաւոր	adjective	Pearly, nacreous.		սատապավոր		Rսատապ-ավոր	Adjective				
52008	սատար	noun	Helper, auxiliary, aid, assistant, maker, workman, artisan, operative.		սատար		Rսատար	Regular?				
52009	սատարել	verb active	To aid, to help, to assist, to succour, to contribute.		սատարել		Rսատար-ե-լ		Regular	E-Class		2
52010	սատարութիւն	noun	Aid, help, relief, assistance, support, succour, contribution.		սատարութիւն		Rսատար-ութիւն	Suffix utjun				
52011	սատափ	noun	Mother of pearl.		սատափ		Rսատափ	Regular?				
52012	սատափեայ	adjective	Nacreous, pearly.		սատափյա		Rսատափ-յա	Adjective				
52013	սատեր	noun	Stater, didrachem.		սատեր		Rսատեր	Regular?				
52014	սատերանալ	verb neutre	To take the power, authority.		սատերանալ		Rսատեր-ա-ն-ա-լ		Regular	Inchoative		20
52016	սատիր	noun	Satyre, faun. & (թռչուն) Wood-nymph.	manually merged entries	սատիր		Rսատիր	Regular?				
52017	սատիրութիւն	noun	(path.) Sauriasis.		սատիրութիւն		Rսատիր-ութիւն	Suffix utjun				
52018	սատկեցնել	verb active	To kill, to butcher, to slay, to exterminate		սատկեցընել		Rսատկ-ե-ցն-ե-լ		Regular	Causative	Basic	10
52019	սատկիլ	verb neutre	see Սատակիլ։		սատկիլ		Rսատկ-ի-լ		Regular	I-Class	Basic	4
52020	սատուռնատօնք	noun	Salurnalia.		սատուռնատօնք		Rսատուռն-ա+Rտօն-ք	regular?				
52021	սատուրկոճ	noun	Butcher's knife.		սատուրկոճ		Rսատուրկոճ	Regular?				
52022	սատրապ	noun	Satrap, lieutenant of a county, prefect.		սատրապ		Rսատրապ	Regular?				
52023	սատրապային	adjective	Satrapal.		սատրապային		Rսատրապ-ային	Adjective				
52024	սատրապետ	noun	Satrap, lieutenant of a county, prefect.		սատրապետ		Rսատր-ա+Rպետ	Regular?				
52025	սատրապութիւն	noun	Satrapy.		սատրապութիւն		Rսատրապ+Rութիւն	Suffix utjun				
52026	սատրինջ	noun	Chess.		սատրինջ		Rսատրինջ	Regular?				
52027	սար	noun	Top, summit, peak, height.		սար		Rսար	Regular?				
52028	սարաբարձր	adjective	Haughty, lofty, high-topped.		սարաբարձըր		Rսար-ա+Rբարձր	Adjective				
52029	սարագործ	noun	Harness-maker.		սարագործ		Rսար-ա+Rգործ	Regular?				
